Brand,Product,Barcode,Stock,Price,MOQ,GTIN,Target price,TargetPrice,OriginalPrice,PercentToTarget,Reduction_Factor
VT COSMETICS,100 VITA-LIGHT REEDLE SHOT (2ml*10ea) (EU Package),8803463007256,623,5.36,24,,,0.0,5.36,0.0,0.0
Dr.Althea,Oasis Soothing Mask 5ea,8809447251936,921,5.7024,24,8809447251936,5.7,5.7,7.92,0.28,0.28
Jumiso,Pore-Purifying Salicylic Acid Foaming Cleanser 120g,8809655951376,1163,5.0301,24,8809655951376,5.03,5.03,7.29,0.31,0.31
Medicube,ZERO PORE CREAM 2.0 50ml,8800289474729,2150,10.58,24,8800289474729,10.58,10.58,10.58,0.0,0.0
TOCOBO,Vita Glazed Lip Mask 20ml,8809835060225,10189,6.1618900000000005,24,8809835060225,6.16,6.16,7.91,0.221,0.221
Mary&May,(EU) Vitamine B5 + Bifida Toner 120ml,8809670681135,465,4.913010000000001,24,8809670681135,4.91,4.91,7.11,0.309,0.309
ELROEL,BLANC COVER CREAM STICK MEDIUM 13g,8809527486678,0,13.86,24,,,0.0,13.86,0.0,0.0
COSRX,AC Collection Lightweight Soothing Moisturizer 80ml_2.0 (EU Package),8809598453586,0,8.4,24,,,0.0,8.4,0.0,0.0
ISNTREE,(EU) CLEAR SKIN 8% AHA ESSENCE 100ml,8809800940149,1722,4.58831,24,8809800940149,4.59,4.59,5.89,0.221,0.221
Skin1004,Madagascar Centella Air-Fit Suncream Plus 50ml,8809576261301,1285,8.28176,24,8809576261301,8.28,8.28,10.84,0.236,0.236
TOCOBO,Cica Calming Aqua Toner 200ml,8809835060577,0,7.85,24,,,0.0,7.85,0.0,0.0
COSRX,JUMBO Ultimate Nourishing Rice Overnight Mask 60g,8809416470726,0,13.2,24,,,0.0,13.2,0.0,0.0
IUNIK,Propolis Vitamin Synergy Serum 50ml,8809728080392,908,6.45435,24,8809728080392,6.45,6.45,9.45,0.317,0.317
FWEE,Lip&Cheek Blurry Pudding Pot ND04 My 5g,8809652582511,1252,7.871849999999999,24,8809652582511,7.87,7.87,10.29,0.235,0.235
ISNTREE,(EU) ONION NEWPAIR GEL CREAM_50ml,8809783322635,319,4.3792,24,8809783322635,4.38,4.38,5.6,0.218,0.218
ISNTREE,(EU) REAL ROSE CALMING MASK 100ML,8809581076334,460,6.0602,24,8809581076334,6.06,6.06,7.85,0.228,0.228
BIODANCE,Hydro Cera-nol Ampoule 50ml,8809937361688,440,15.714820000000001,24,8809937361688,15.71,15.71,23.42,0.329,0.329
Pyunkang yul,(EU) Moisture serum 100ml,8809486680063,579,7.065519999999999,24,8809486680063,7.07,7.07,10.36,0.318,0.318
ISNTREE,(EU) YAM ROOT VEGAN MILK TONER_200ml,8809800940514,983,5.8902600000000005,24,8809800940514,5.89,5.89,7.62,0.227,0.227
Round Lab,(EU) Birch Juice Moisutrizing Sun Cushion_15g,8809782556628,826,5.681,24,8809782556628,5.63,5.63,8.74,0.356,0.35
PURITO SEOUL,Daily Soft Touch Sunstick 20g,8809563103843,332,6.85824,24,8809563103843,6.86,6.86,8.93,0.232,0.232
TOCOBO,Sun Care Mini Duo,8809835060201,0,4.47,24,,,0.0,4.47,0.0,0.0
ISNTREE,CHESTNUT BHA 2% CLEAR LIQUID 100ml,8809783322666,479,6.5989,24,8809783322666,6.6,6.6,8.57,0.23,0.23
FWEE,Lip&Cheek Blurry Pudding Pot RS03 Faded 5g,8809652582757,659,7.871849999999999,24,8809652582757,7.87,7.87,10.29,0.235,0.235
Dr.Althea,Green Tea Fresh Sunscreen 45ml,8809447255989,1870,6.84012,24,8809447255989,6.84,6.84,9.58,0.286,0.286
Pyunkang yul,(EU) Moisture ample 100ml,8809486680025,1034,7.331499999999999,24,8809486680025,7.33,7.33,10.75,0.318,0.318
FWEE,Fingerlike Silicone Lip Brush,8809652583112,1774,3.1201800000000004,24,8809652583112,3.12,3.12,3.91,0.202,0.202
FWEE,Lip&Cheek Blurry Pudding Pot ND03 Without 5g,8809652582504,278,7.871849999999999,24,8809652582504,7.87,7.87,10.29,0.235,0.235
Dr.Althea,Aqua Glowing Sunscreen 45ml,8809447255972,1909,6.84012,24,8809447255972,6.84,6.84,9.58,0.286,0.286
TIRTIR,MASK FIT RED CUSHION 21N IVORY,8809679696451,0,13.02,24,,,0.0,13.02,0.0,0.0
TOCOBO,Calamine pore Control Cleansing Oil 200ml,8809835062021,10400,6.18555,24,8809835062021,6.19,6.19,9.03,0.315,0.315
ISNTREE,ONION NEWPAIR B5 AMPOULE_50ml,8809800940712,598,6.85824,24,8809800940712,6.86,6.86,8.93,0.232,0.232
EDGE U,SAND WAVE,8809785846641,726,1.4,24,,,0.0,1.4,0.0,0.0
ISNTREE,(EU) SPOT SAVER MUGWORT CREAM 50ML,8809800940187,1063,8.3232,24,8809800940187,8.32,8.32,10.88,0.235,0.235
Mary&May,(EU) Lemon Niacinamide Glow Wash off Pack 125g,8809670681593,725,6.939280000000001,24,8809670681593,6.94,6.94,10.16,0.317,0.317
Medicube,DEEP VITA C DAILY QUICK MASK (30pcs),8800289478062,917,11.0352,24,8800289478062,11.03,11.03,14.52,0.24,0.24
PURITO SEOUL,Fermented Complex 94 Boosting Essence 150ml,8809563102006,0,10.79,24,,,0.0,10.79,0.0,0.0
AXIS-Y,PHA Resurfacing Glow Peel 50ml,8809634610362,0,8.96,24,,,0.0,8.96,0.0,0.0
celimax,(Renew) NONI MOISTURE BALANCING TONER 150ml,8809954940132,0,12.01,24,,,0.0,12.01,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot RS05 Film 5g,8809652582771,1322,7.871849999999999,24,8809652582771,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot PK01 Baby 5g,8809652582580,820,7.871849999999999,24,8809652582580,7.87,7.87,10.29,0.235,0.235
COSRX,The Ceramide Skin Barrier Moisturizer 80ml,8809598457171,1379,9.74776,24,8809598457171,9.75,9.75,11.66,0.164,0.164
KSECRET,(GLOBAL) Cream : Snail Mucin 93% + Rice,8809695240591,725,6.72261,24,8809695240591,6.72,6.72,9.93,0.323,0.323
ISNTREE,(EU) MUGWORT CALMING AMPOULE 50ml,8809800940194,736,9.48409,24,8809800940194,9.48,9.48,12.43,0.237,0.237
AXIS-Y,Sunday Morning Refreshing Cleansing Foam 120ml,8809634610096,0,7.45,24,,,0.0,7.45,0.0,0.0
ISNTREE,(EU) ALOE SOOTHING EMULSION 120ML,8809541190247,0,12.04,24,,,0.0,12.04,0.0,0.0
Haruharu Wonder,Centella Phyto & 5 Peptide Concentrate Cream 30ml,8809532221790,308,6.72072,24,8809532221790,6.72,6.72,9.84,0.317,0.317
TOCOBO,VITA BERRY PORE TONER 150mL,8809835060065,743,7.20762,24,8809835060065,7.21,7.21,9.17,0.214,0.214
ISNTREE,ONION NEWPAIR ESSENCE TONER_200ml,8809783322642,678,6.5989,24,8809783322642,6.6,6.6,8.57,0.23,0.23
PURITO SEOUL,Clear Code Superfruit Serum 30ml,8809563102730,0,9.86,24,,,0.0,9.86,0.0,0.0
KSECRET,(GLOBAL) Essence : Snail Mucin 97% + Rice 100ml,8809695240515,328,6.72261,24,8809695240515,6.72,6.72,9.93,0.323,0.323
AXIS-Y,Spot the Difference Blemish Treatment 15ml,8809634610249,0,7.57,24,,,0.0,7.57,0.0,0.0
Heimish,(EU) RX AMINO KERATIN HEAT PROTECTING LEAVE IN TREATMENT 150ml,8809481762573,414,5.8674,24,8809481762573,5.87,5.87,7.62,0.23,0.23
ISNTREE,(60EA) ONION NEWPAIR CLEAR PAD 250ml,8809800940460,414,7.97895,24,8809800940460,7.98,7.98,10.43,0.235,0.235
TIRTIR,MASK FIT RED CUSHION 25N MOCHA,8809928133263,0,13.02,24,,,0.0,13.02,0.0,0.0
COSRX,The Niacinamide 15 Serum 20 mL,8809598454637,0,10.74,24,,,0.0,10.74,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot RD02 Mule 5g,8809652582641,1399,7.871849999999999,24,8809652582641,7.87,7.87,10.29,0.235,0.235
Heimish,Black Tea Mask Pack 110ml,8809481760906,0,8.39,24,,,0.0,8.39,0.0,0.0
KSECRET,(GLOBAL) Cleansing Oil : Pine Cica 1% + Probiotics 200ml,8809695240560,0,9.09,24,,,0.0,9.09,0.0,0.0
Heimish,RX AHA BHA PEELING SERUM 35ml,8809481762627,0,7.57,24,,,0.0,7.57,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot PK02 Skirt 5g,8809652582597,1568,7.871849999999999,24,8809652582597,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot PK05 Sth 5g,8809652582627,748,7.871849999999999,24,8809652582627,7.87,7.87,10.29,0.235,0.235
AXIS-Y,Complete No-Stress Physical Sunscreen 50ml Ver.3,8809634610119,388,8.04707,24,8809634610119,8.05,8.05,10.33,0.221,0.221
PURITO SEOUL,Wonder Releaf Centella BB Cream #15 Rose Ivory 30ml,8809563103683,1859,5.8,24,,,0.0,5.8,0.0,0.0
EDGE U,WAVE PINK MAGNET,8809785848539,574,1.4,24,,,0.0,1.4,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot PK03 Cherry 5g,8809652582603,716,7.871849999999999,24,8809652582603,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot CR04 Seventeen 5g,8809652582566,1192,7.871849999999999,24,8809652582566,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot MV03 Baddie 5g,8809652582702,1765,7.871849999999999,24,8809652582702,7.87,7.87,10.29,0.235,0.235
KSECRET,(GLOBAL) Cleansing Foam : Pine Cica 1% + Probiotics 150ml,8809695240553,0,6.61,24,,,0.0,6.61,0.0,0.0
EDGE U,WAVE GOLD MAGNET,8809785848508,608,1.4,24,,,0.0,1.4,0.0,0.0
TOCOBO,AHA BHA LEMON TONER 150mL,8809835060003,901,6.3953999999999995,24,8809835060003,6.4,6.4,9.35,0.316,0.316
EDGE U,STELLAR MAGNET,8809785848263,579,1.4,24,,,0.0,1.4,0.0,0.0
KSECRET,(GLOBAL) Sun : Pine Tree + Ceramide 50ml,8809695240492,0,8.27,24,,,0.0,8.27,0.0,0.0
TIRTIR,Mask Fit Red Cushion 17W French Vanilla,8809928134871,0,13.02,24,,,0.0,13.02,0.0,0.0
Heimish,Moringa Ceramide Collagen Enriched Moisturizer 120ml,8809481762283,0,9.3,24,,,0.0,9.3,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot RS04 Memories 5g,8809652582764,983,7.871849999999999,24,8809652582764,7.87,7.87,10.29,0.235,0.235
Heimish,(EU) Bulgarian Rose Hydrogel Eye Patch 60ea,8809481760883,921,5.64,24,8809481760883,5.64,5.64,5.64,0.0,0.0
Heimish,(EU) RX AMINO BIOTIN REVITALIZING SHAMPOO 400ml,8809481762566,560,6.577290000000001,24,8809481762566,6.58,6.58,9.63,0.317,0.317
EDGE U,PRIMADONNA,8809785847068,902,1.4,24,,,0.0,1.4,0.0,0.0
Mary&May,(EU) Citrus Unshiu + Tremella Fuciformis Serum30ml,8809670680855,208,4.913010000000001,24,8809670680855,4.91,4.91,7.11,0.309,0.309
EDGE U,STARRY NIGHT,8809785846764,0,1.4,24,,,0.0,1.4,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot RS02 Lyrics 5g,8809652582740,811,7.871849999999999,24,8809652582740,7.87,7.87,10.29,0.235,0.235
AXIS-Y,Mugwort Pore Clarifying Wash Off Pack 100ml,8809634610102,319,7.265719999999999,24,8809634610102,7.27,7.27,10.78,0.326,0.326
Mary&May,(EU) CICA TeaTree Soothing Wash off Pack 125g,8809670681579,737,6.939280000000001,24,8809670681579,6.94,6.94,10.16,0.317,0.317
Heimish,Moringa Ceramide BB Cream SPF 30 PA++ 19 Fair Beige,8809481762320,0,18.16,24,,,0.0,18.16,0.0,0.0
ARENCIA,Holy Hyssop Serum 12 30ml,8809562191629,0,7.77,24,,,0.0,7.77,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot CR05 Girls 5g,8809652582573,572,7.871849999999999,24,8809652582573,7.87,7.87,10.29,0.235,0.235
EDGE U,MIRROR SKY BLUE,8809785848171,0,1.4,24,,,0.0,1.4,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot CR02 Boy 5g,8809652582542,1228,7.871849999999999,24,8809652582542,7.87,7.87,10.29,0.235,0.235
EDGE U,MIRROR WHITE,8809785848140,516,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,MIRROR VIOLET,8809785848232,834,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,SPARKLING WINE,8809785846856,800,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,VAMPIRE BLACK,8809785847303,575,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,CROSS GREEN MAGNET,8809785848478,1064,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,GLAM WHITE FRENCH,8809785847273,694,1.4,24,,,0.0,1.4,0.0,0.0
Haruharu Wonder,Black Bamboo Mist 80ml,8809532220946,0,6.66,24,,,0.0,6.66,0.0,0.0
TIRTIR,MASK FIT RED CUSHION 28N OAT,8809928137438,0,13.02,24,,,0.0,13.02,0.0,0.0
EDGE U,VERI PERI TRICK,8809785846733,509,1.4,24,,,0.0,1.4,0.0,0.0
celimax,NONI ENERGY REPAIR CREAM 50ml,8809686386185,0,13.08,24,,,0.0,13.08,0.0,0.0
EDGE U,PUPLE HOLE MAGNET,8809785848386,767,1.4,24,,,0.0,1.4,0.0,0.0
PURITO SEOUL,Wonder Releaf Centella BB Cream #29 Caramel Beige 30ml,8809563103720,2308,5.8,24,,,0.0,5.8,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot RS01 Feel'n 5g,8809652582733,1594,7.871849999999999,24,8809652582733,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot ND01 Oh! 5g,8809652582481,825,7.871849999999999,24,8809652582481,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot RD04 Fav 5g,8809652582665,767,7.871849999999999,24,8809652582665,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot ND02 Like 5g,8809652582498,935,7.871849999999999,24,8809652582498,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot RD03 Ambitious 5g,8809652582658,1306,7.871849999999999,24,8809652582658,7.87,7.87,10.29,0.235,0.235
ELROEL,BLANC COVER CREAM STICK LIGHT 13g,8809527486654,0,13.86,24,,,0.0,13.86,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot ND05 Be 5g,8809652582528,779,7.871849999999999,24,8809652582528,7.87,7.87,10.29,0.235,0.235
ARENCIA,(EU Package) Fresh Red Smoothie Serum 8 30ML,8809562191735,0,7.77,24,,,0.0,7.77,0.0,0.0
AXIS-Y,Artichoke Intensive Skin Barrier Ampoule 30ml,8809115027917,1057,7.050679999999999,24,8809115027917,7.05,7.05,10.43,0.324,0.324
Heimish,Moringa Ceramide Hyaluronic Acid Hydrating Watery Sunscreen 50ml,8809481762306,0,7.84,24,,,0.0,7.84,0.0,0.0
TIRTIR,MASK FIT RED CUSHION 22C PEACH BEIGE,8809928137407,0,13.02,24,,,0.0,13.02,0.0,0.0
Heimish,(EU) (Renew) Artless Glow Base 40ml SPF50+ PA++++,8809481760463,208,6.2622,24,8809481760463,6.26,6.26,7.35,0.148,0.148
Heimish,(EU) Matcha Biome Amino Acne Cleansing Foam 150g,8809481761811,802,4.46964,24,8809481761811,4.47,4.47,4.76,0.061,0.061
TIRTIR,MASK FIT RED CUSHION 29N NATURAL BEIGE,8809928133881,0,13.02,24,,,0.0,13.02,0.0,0.0
Heimish,Moringa Ceramide Hyaluronic Hydrating Cream 50ml,8809481762290,0,9.3,24,,,0.0,9.3,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot MV04 Slayyy 5g,8809652582719,681,7.871849999999999,24,8809652582719,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot CR03 BFF 5g,8809652582559,1008,7.871849999999999,24,8809652582559,7.87,7.87,10.29,0.235,0.235
COSRX,AC Collection Calming Liquid Intensive 125ml (EU Package),8809598453029,0,10.26,24,,,0.0,10.26,0.0,0.0
TIRTIR,MASK FIT RED CUSHION 34N PECAN,8809928135885,0,13.02,24,,,0.0,13.02,0.0,0.0
TIRTIR,MASK FIT RED CUSHION 55N ESPRESSO,8809928135922,0,13.02,24,,,0.0,13.02,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot RD01 D-Day 5g,8809652582634,808,7.871849999999999,24,8809652582634,7.87,7.87,10.29,0.235,0.235
TIRTIR,Mask Fit Red Cushion 35N Walnut,8809928134918,0,13.02,24,,,0.0,13.02,0.0,0.0
COSRX,Advanced Snail Mucin Gel Cleanser 150 mL,8809598452350,3506,8.923079999999999,24,8809598452350,8.92,8.92,12.19,0.268,0.268
FWEE,Lip&Cheek Blurry Pudding Pot PK04 Crush 5g,8809652582610,808,7.871849999999999,24,8809652582610,7.87,7.87,10.29,0.235,0.235
celimax,(Renew) Oil Control Light Sunscreen 40ml,8809782559063,293,7.34,24,8809782559063,7.34,7.34,10.0,0.266,0.266
AXIS-Y,Quinoa One-Step balanced Gel Cleanser 180ml,8809634610027,234,6.35964,24,8809634610027,6.36,6.36,9.38,0.322,0.322
Haruharu Wonder,Black Rice Moisture 5.5 Soft Cleansing Gel 2ml,880SG00001501,0,0.17,24,,,0.0,0.17,0.0,0.0
Haruharu Wonder,Black Bamboo Mist 150ml,8809532220748,343,6.25176,24,8809532220748,6.25,6.25,9.14,0.316,0.316
AXIS-Y,New Skin Resolution Gel Mask 100ml,8809634610140,215,7.4385,24,8809634610140,7.44,7.44,11.02,0.325,0.325
TIRTIR,MASK FIT RED CUSHION 34W TOFFEE,8809928135892,0,13.02,24,,,0.0,13.02,0.0,0.0
FWEE,Lip&Cheek Blurry Pudding Pot CR01 Dear 5g,8809652582535,702,7.871849999999999,24,8809652582535,7.87,7.87,10.29,0.235,0.235
TIRTIR,MASK FIT RED CUSHION 51N FUDGE,8809928135915,0,13.02,24,,,0.0,13.02,0.0,0.0
TIRTIR,MASK FIT RED CUSHION 33W GINGER,8809928135861,0,13.02,24,,,0.0,13.02,0.0,0.0
Haruharu Wonder,Black Bamboo Daily Soothing Sun Shield,8809532221929,1706,6.12864,24,8809532221929,6.13,6.13,8.96,0.316,0.316
TIRTIR,Mask Fit Red Cushion 33C Hazel,8809928134895,308,9.92124,24,8809928134895,9.92,9.92,13.02,0.238,0.238
FWEE,Lip&Cheek Blurry Pudding Pot MV01 Chill'n 5g,8809652582689,676,7.871849999999999,24,8809652582689,7.87,7.87,10.29,0.235,0.235
FWEE,Lip&Cheek Blurry Pudding Pot RD05 Greedy 5g,8809652582672,838,7.871849999999999,24,8809652582672,7.87,7.87,10.29,0.235,0.235
Heimish,(EU) Moringa Ceramide BB Cream SPF 30 PA++ 23 Light Medium,8809481761903,0,6.08,24,,,0.0,6.08,0.0,0.0
Mary&May,(EU) Vegan Niacinamide Panthenol Sun Cushion SPF50+ PA++++ 25g,8809670682040,0,6.71,24,,,0.0,6.71,0.0,0.0
AXIS-Y,Biome Resetting Moringa Cleansing Oil 200ml,8809634610508,476,10.332740000000001,24,8809634610508,10.34,10.34,14.74,0.299,0.299
FWEE,Lip&Cheek Blurry Pudding Pot MV02 Hurt 5g,8809652582696,860,7.871849999999999,24,8809652582696,7.87,7.87,10.29,0.235,0.235
TIRTIR,MASK FIT RED MINI CUSHION 34N PECAN,8809928135786,0,7.59,24,,,0.0,7.59,0.0,0.0
AXIS-Y,Cera-Heart My Type Duo Cream 60ml,8809634610041,382,8.88404,24,8809634610041,8.89,8.89,13.24,0.329,0.329
FWEE,Lip&Cheek Blurry Pudding Pot MV05 Boss 5g,8809652582726,863,7.871849999999999,24,8809652582726,7.87,7.87,10.29,0.235,0.235
Nature Republic,(EU) REAL NATURE SHEET MASK ALOE 23ml,8806173495917,12846,0.49,24,8806173495917,0.49,0.49,0.49,0.0,0.0
TIRTIR,MASK FIT RED CUSHION 34C AMBER,8809928135878,233,9.92124,24,8809928135878,9.92,9.92,13.02,0.238,0.238
COSRX,Low pH Good Morning Gel Cleanser 150ml (EU Package),8809416470511,2593,3.4003200000000002,24,8809416470511,3.4,3.4,4.62,0.264,0.264
Heimish,(EU) Moringa Ceramide BB Cream SPF 30 PA++ 21 Light Beige,8809481762337,0,6.08,24,,,0.0,6.08,0.0,0.0
Nature Republic,(EU) REAL NATURE SHEET MASK ACAI BERRY 23ml,8806173496280,14598,0.49,24,8806173496280,0.49,0.49,0.49,0.0,0.0
Nature Republic,(EU) REAL NATURE SHEET MASK AVOCADO 23ml,8806173495955,15649,0.49,24,8806173495955,0.49,0.49,0.49,0.0,0.0
Nature Republic,(EU) REAL NATURE SHEET MASK ROYAL JELLY 23ml,8806173496273,14699,0.49,24,8806173496273,0.49,0.49,0.49,0.0,0.0
Nature Republic,(EU) REAL NATURE SHEET MASK SHEA BUTTER 23ml,8806173495986,15234,0.49,24,,,0.0,0.49,0.0,0.0
Jumiso,Blackhead melting softner 150ml + cotton pad(40pads) + cotton Swab 10ea,8809655951970,836,8.22402,24,8809655951970,8.22,8.22,10.98,0.251,0.251
EDGE U,MIRROR PINK BEIGE,8809785848201,857,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,RED BLANKET CHECK,8809785846917,1108,1.4,24,,,0.0,1.4,0.0,0.0
COSRX,SkinBarrier Moisturizing Cream 450mL,8800311120112,0,11.66,24,,,0.0,11.66,0.0,0.0
Nature Republic,(EU) REAL NATURE SHEET MASK GREEN TEA 23ml,8806173495962,15714,0.49,24,8806173495962,0.49,0.49,0.49,0.0,0.0
TIRTIR,MASK FIT RED MINI CUSHION 17C PORCELAIN,8809679697489,0,7.59,24,,,0.0,7.59,0.0,0.0
TIRTIR,MASK FIT RED MINI CUSHION 17N VANILLA,8809928135625,0,7.59,24,,,0.0,7.59,0.0,0.0
TIRTIR,MASK FIT RED MINI CUSHION 21C COOL IVORY,8809928135649,0,7.59,24,,,0.0,7.59,0.0,0.0
EDGE U,SHERBET RECIPE,8809785847129,750,1.4,24,,,0.0,1.4,0.0,0.0
TIRTIR,MASK FIT RED MINI CUSHION 21W NATURAL IVORY,8809928135656,0,7.59,24,,,0.0,7.59,0.0,0.0
TIRTIR,MASK FIT RED MINI CUSHION 37C ALMOND,8809928135809,0,7.59,24,,,0.0,7.59,0.0,0.0
Nature Republic,(EU) REAL NATURE SHEET MASK TEA TREE 23ml,8806173495924,14915,0.49,24,,,0.0,0.49,0.0,0.0
Heimish,(EU) RX AHA BHA Enzyme Scrub 130ml,8809481762542,0,6.13,24,,,0.0,6.13,0.0,0.0
Nature Republic,(EU) Real Nature Mask Sheet/ Chamomile 23ml,8806173496297,12187,0.49,24,8806173496297,0.49,0.49,0.49,0.0,0.0
Nature Republic,(EU) Real Nature Mask Sheet/ Orange 23ml,8806173496310,15937,0.49,24,8806173496310,0.49,0.49,0.49,0.0,0.0
Nature Republic,(EU) Real Nature Mask Sheet/ Rose23ml,8806173496327,14455,0.49,24,8806173496327,0.49,0.49,0.49,0.0,0.0
Nature Republic,(EU) REAL NATURE SHEET MASK TOMATO 23ml,8806173496303,15984,0.49,24,,,0.0,0.49,0.0,0.0
EDGE U,ASH PINK,8809785846498,1175,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,COTTON CASHMERE,8809785846559,1177,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,SHOP CARE FREE TOP GEL,8809785840281,0,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,CREAM BEIGE,8809952590704,0,1.4,24,,,0.0,1.4,0.0,0.0
Heimish,(EU) RX Hyaluronic Acid Hydrating Serum 35ml,8809481762658,469,5.71824,24,8809481762658,5.72,5.72,7.22,0.208,0.208
EDGE U,Shop care gel off serum,8809709898473,0,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,ANTIQUE FRENCH,8809785846948,1041,1.4,24,8809785846948,1.4,1.4,1.4,0.0,0.0
EDGE U,BLACK SUGAR BONBON CHOCOLAT,8809785846610,1281,1.4,24,,,0.0,1.4,0.0,0.0
Heimish,(EU) (Renew) Marine Care Eye Cream 30ml,8809481761217,1032,19.311500000000002,24,8809481761217,8.71,8.71,29.71,0.707,0.35
EDGE U,PEACH NUDE,8809952590643,0,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,EXTREME BLACK,8809785846979,513,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,CASUAL STREET LOOK,8809785846795,1181,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,PEARL LOCKET,8809785847099,1415,1.4,24,,,0.0,1.4,0.0,0.0
Heimish,(EU) Moringa Ceramide BB Cream SPF 30 PA++ 27 Light Tan,8809481761927,0,6.08,24,,,0.0,6.08,0.0,0.0
EDGE U,GLAM BURGANDY FRENCH,8809785847211,1412,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,NEW TWEED,8809785847181,1537,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,THE CASHMERE,8809785846672,1374,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,FORMAL TWEED,8809785847150,1409,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,JOYFUL CHECK,8809785846825,1182,1.4,24,,,0.0,1.4,0.0,0.0
Nature Republic,(EU) REAL NATURE SHEET MASK BAMBOO 23ml,8806173495931,15987,0.49,24,8806173495931,0.49,0.49,0.49,0.0,0.0
EDGE U,ZEBRA NEON GLOW,8809785848683,529,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,BLUE HOLE MAGNET,8809785848416,1124,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,CORAL STONE BLUSHER,8809785847037,841,1.4,24,,,0.0,1.4,0.0,0.0
Nature Republic,(EU) HAND & NATURE BLOOMING ROSE HAND CREAM 30ml,8806173488544,950,2.38,24,,,0.0,2.38,0.0,0.0
Nature Republic,(EU) HAND & NATURE FIG TREE HAND CREAM 30ml,8806173488513,1160,2.38,24,,,0.0,2.38,0.0,0.0
Nature Republic,(EU) HAND & NATURE PEACH LIQUOR HAND CREAM 30ml,8806173488506,739,2.38,24,8806173488506,2.38,2.38,2.38,0.0,0.0
EDGE U,BOHEMIAN NEON GLOW,8809785848652,523,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,BLACK FRENCH,8809785847334,890,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,CHOCOLAT NUANCE,8809785846580,1098,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,LEOPARD BLACK,8809785847006,869,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,CROSS BLACK MAGNETIC,8809785848447,790,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,CLOUDY NEON GLOW,8809785848560,405,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,RACING CHECK,8809785846436,293,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,ROCK CHIC NEON GLOW,8809785848591,226,1.4,24,,,0.0,1.4,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JC02 Mellow Mango 4g,8809652585598,441,6.83,24,8809652585598,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JC03 Juicy Punch 4g,8809652585734,616,6.83,24,8809652585734,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JM02 Berry Jam 4g,8809652585642,261,6.83,24,8809652585642,6.83,6.83,6.83,0.0,0.0
